T'Challa,T'Chaka
Zuri,N'Jobu
Young T'Chaka,N'Jobu
Young T'Chaka,James (Zuri)
N'Jobu,James (Zuri)
Young T'Chaka,Prince N'Jobu
Panther,Nakia
T'Challa,Nakia
T'Challa,Nakia,Okoye
Nakia,T'Challa,Okoye,Ramonda,Shuri,Ayo
Klaue,Killmonger
Klaue,Limbani
Killmonger,Limbani
Killmonger,Linda
T'Challa,Zuri
Nakia,Zuri
Zuri,T'Challa
M'Baku,Shuri
M'Baku,Ayo
M'Baku,T'Challa
T'Challa,M'Baku
T'Challa,Zuri
T'Challa,T'Chaka
T'Challa,T'Chaka
T'Challa,Zuri
T'Challa,Nakia
T'Challa,W'Kabi
T'Challa,W'Kabi
T'Challa,Nakia
W'Kabi,T'Challa
T'Challa,Okoye
W'Kabi,Klaue
W'Kabi,T'Challa
T'Challa,Ramonda
T'Challa,Dora
T'Challa,Shuri
T'Challa,Shuri
T'Challa,Nakia
T'Challa,Shuri
T'CHALLA,SHURI
SHURI,T'CHALLA
T'CHALLA,SHURI
T'CHALLA,SHURI
T'Challa,Ross
T'Challa,Nakia
Okoyle,Nakia
Klaue,Ross
Klaue,Dave
Klaue,Nakia
T'Challa,Ross
T'Challa,Ross
T'Challa,Klaue
NAKIA,OKOYE
Nakia,Okoye
Okoye,Nakia
Klaue,Driver
Panther,Klaue
Shuri,Panther
T'Challa,Klaue
Panther,Klaue
T'Challa,Klaue
T'Challa,Okoye,Nakia
Ross,T'Challa,Okoye
Ross,T'Challa
Ross,Klaue
T'Challa,Okoye
Ross,T'Challa,Okoye
Klaue,Linda,Lirnbani
Killmonger,Panther
Panther,Okoye
Panther,Nakia
T'Challa,Okoye,Nakia
Shuri,Nakia,Okoye
T'Challa,W'Kabi
Killmonger,Klaue
Killmonger,Linda
T'Chaka,N'Jobu
Killmonger,Klaue
T'Challa,Zuri
ZURI,T'CHAKA
T'CHALLA,ZURI
ZURI,T'CHAKA
ZURI,W'KABI
ROSS,SHURI
Ross,Shuri,Okoye
Shuri,Ross
T'Challa,Nakia
Ross,T'Challa
T'Challa,Shuri
T'Challa,Killmonger
Ramonda,Killmonger
Shuri,Killmonger
T'Challa,Killmonger
Ramonda,Killmonger
W'Kabi,Ramonda
Killmonger,Ramonda
T'Challa,Ramonda
T'Challa,Killmonger
Zuri,Killmonger
Nakia,Okoye
Killmonger,T'Challa
T'Challa,Zuri
Zuri,Killmonger
Nakia,Okoye
Okoye,Nakia
Nakia,Okoye
Nakia,Ross
Shuri,Ramonda
Ramonda,Nakia
Killmonger,W'Kabi
Okoye,W'Kabi
Ramonda,Nakia
Nakia,M'Baku
M'Baku,Ramonda
Shuri,M'Baku
Ramonda,Nakia
Ramonda,T'Chaka
T'Challa,Ramonda
T'Challa,Nakia,Shuri,Ramonda,Ross
Nakia,Ross
T'Challa,Ross
T'Challa,Nakia,Ramonda
T'Challa,Shuri
Shuri,T'Challa
Nakia,T'Challa,Ramonda,Ross
M'Baku,T'Challa
Nakia,Ross
Killmonger,W'Kabi
Okoye,Killmonger
Okoye,Ayo
Shuri,Nakia,Ross
Nakia,Shuri
Killmonger,Okoye
Ross,Shuri,Griot
Shuri,Nakia
Killmonger,Nakia
Shuri,Nakia
Ross,Shuri
T'Challa,Shuri
Shuri,Nakia
Ross,Griot
Ross,Shuri
Okoye,W'Kabi
Ross,GRIOT
Ross,SHURI
M'Baku,W'Kabi
T'Challa,Killmonger
T'Challa,Killmonger 
T'Challa,Nakia 
T'Challa,Shuri
T'CHALLA,Nakia,Okoye,Ayo
Shuri,Bucky
