Shuri,Griot,,,,,
Shuri,Ramonda,,,,,
Okoye,Aneka,Nomble,,,,
Ayo,Aneka,,,,,
Smitty,Dr. Graham,,,,,
Salazar,Dr. Graham,,,,,
Salazar,Jackson,,,,,
Smitty,Dr. Graham,,,,,
Dr. Graham,Attuma,,,,,
Shuri,Ramonda,,,,,
Shuri,Ramonda,,,,,
Shuri,Ramonda,,,,,
Shuri,Ramonda,,,,,
Shuri,Ramonda,,,,,
Namor,Ramonda,,,,,
Shuri,Namor,,,,,
Namor,Shuri,,,,,
Namor,Ramonda,,,,,
Ramonda,Namor,,,,,
Namor,Shuri,,,,,
M'Baku,Okoye,,,,,
Okoye,Shuri,,,,,
Okoye,Ramonda,,,,,
Okoye,Ramonda,,,,,
Okoye,Ramonda,,,,,
Okoye,Ramonda,,,,,
Okoye,Ramonda,,,,,
Okoye,Ramonda,,,,,
Okoye,Everett Ross,,,,,
Shuri,Okoye,,,,,
Everett Ross,Okoye,,,,,
Okoye,Shuri,,,,,
Shuri,Riri Williams,,,,,
Riri Williams,Okoye,,,,,
Riri Williams,Shuri,,,,,
Riri Williams,Okoye,,,,,
Shuri,Riri Williams,,,,,
Shuri,Okoye,Riri Williams,,,,
Okoye,Riri Williams,,,,,
Shuri,Okoye,Riri Williams,,,,
Riri Williams,Shuri,,,,,
Okoye,Shuri,,,,,
Shuri,Riri Williams,,,,,
Okoye,Riri Williams,,,,,
Shuri,Griot,,,,,
Okoye,Shuri,,,,,
Riri Williams,Shuri,,,,,
Riri Williams,Okoye,,,,,
Okoye,Shuri,,,,,
Okoye,Attuma,,,,,
Namora,Attuma,,,,,
Shuri,Griot,,,,,
Namora,Riri Williams,,,,,
Okoye,Attuma,Namora,Shuri,Riri Williams,,
Valentina Allegra de la Fontaine,Everett Ross,,,,,
Everett Ross,Valentina Allegra de la Fontaine,,,,,
Ramonda,Okoye,,,,,
Ramonda,Ayo,,,,,
Ramonda,Griot,,,,,
Valentina Allegra de la Fontaine,Everett Ross,,,,,
Everett Ross,Valentina Allegra de la Fontaine,,,,,
Everett Ross,Ramonda,,,,,
Ramonda,Everett Ross,,,,,
Ramonda,Namor,,,,,
Ramonda,Namor,,,,,
Ramonda,Griot,,,,,
Ramonda,Nakia,,,,,
Nakia,Ramonda,,,,,
Okoye,Ayo,,,,,
Aneka,Okoye,,,,,
Okoye,Aneka,,,,,
Aneka,Ayo,,,,,
Ayo,Aneka,,,,,
Shuri,Riri Williams,,,,,
Riri Williams,Shuri,,,,,
Shuri,Namora,,,,,
Shuri,Namor,,,,,
Shuri,Namor,,,,,
Namor,Shuri,,,,,
Shuri,Namor,,,,,
Namor,Shuri,,,,,
Shuri,Namor,,,,,
